uuid,fecha_emision,folio,serie,rfc_emisor,razonsocialemisor,rfc_receptor,razonsocialreceptor,regimenfiscal,regimenfiscalreceptor,subtotal,iva8,iva16,totaltrasladado,retencionisr,retencioniva,retencionieps,totalretenidos,descuento,total,moneda,tipocambio,movimiento,tipocomprobante,tipopago,metodopago,usocfdi,status
5F3A8B2C-9D1E-4F7A-2C8B-6E3D1A4F5B20,2026-05-01,001,A,WALMEX860714K84,Walmart de México SA,WALMEX860714K84,Walmart de México SA,General,General,86206.90,0.00,13793.10,13793.10,0.00,0.00,0.00,0.00,100000.00,MXN,1,Ingreso,I,01,PUE,G03,Vigente
9D1E4F7A-2C8B-6E3D-1A4F-5B205F3A8B2C,2026-05-03,002,A,CMX200522J40,Cemex Operaciones SA,WALMEX860714K84,Walmart de México SA,General,General,43103.45,0.00,6896.55,6896.55,0.00,0.00,0.00,0.00,50000.00,MXN,1,Ingreso,I,03,PUE,G01,Vigente
2C8B6E3D-1A4F-5B20-5F3A-8B2C9D1E4F7A,2026-05-07,003,A,XAXX010101000,Publico en General,XAXX010101000,Publico en General,General,General,25862.07,0.00,4137.93,4137.93,0.00,0.00,0.00,0.00,30000.00,MXN,1,Egreso,E,99,PPD,G01,Cancelado
E1F2A3B4-C5D6-7890-ABCD-EF0987654321,2026-05-12,004,A,TME840315KT6,Telmex S.A. de C.V.,TME840315KT6,Telmex S.A. de C.V.,General,General,2155.17,0.00,344.83,344.83,0.00,0.00,0.00,0.00,2500.00,MXN,1,Egreso,E,03,PUE,G01,Vigente
F2A3B4C5-D6E7-8901-2345-6789ABCDEF01,2026-05-15,005,A,HEPV730825QQ9,H. Servicios SA,CFE370814QI0,CFE Suministro Básico,General,General,5172.41,0.00,827.59,827.59,0.00,0.00,0.00,0.00,6000.00,MXN,1,Egreso,E,03,PUE,G01,Cancelado
A1B2C3D4-E5F6-7890-ABCD-EF1234567890,2026-05-15,006,A,GARZ850312MX5,Garcia Reyes Enrique,GARZ850312MX5,Garcia Reyes Enrique,General,General,12931.03,0.00,2068.97,2068.97,0.00,0.00,0.00,0.00,15000.00,MXN,1,Nomina,N,99, ,G03,Vigente
B2C3D4E5-F678-90AB-CDEF-123456789012,2026-05-18,007,A,LOME810607PP4,Lopez Mendez Sara,LOME810607PP4,Lopez Mendez Sara,General,General,8620.69,0.00,1379.31,1379.31,0.00,0.00,0.00,0.00,10000.00,MXN,1,Nomina,N,01, ,G01,Vigente
C3D4E5F6-7890-ABCD-EF12-345678901234,2026-05-22,008,A,MIRF830615XY9,Servicios Integrados SA,CMX200522J40,Consultoría MX SA de CV,General,General,51724.14,0.00,8275.86,8275.86,5000.00,0.00,0.00,5000.00,60000.00,MXN,1,Egreso,E,02,PPD,G03,Vigente
D4E5F678-90AB-CDEF-1234-567890123456,2026-05-25,009,A,WALMEX860714K84,Walmart de México SA,MIRF830615XY9,Proveedor Nacional,General,General,34482.76,0.00,5517.24,5517.24,8000.00,0.00,0.00,8000.00,40000.00,MXN,1,Ingreso,I,02,PPD,G03,Vigente
E5F67890-ABCD-EF12-3456-789012345678,2026-05-29,010,A,CONS900215AB3,Consultoría MX SA de CV,CONS900215AB3,Consultoría MX SA de CV,General,General,10344.83,0.00,1655.17,1655.17,0.00,0.00,0.00,0.00,12000.00,MXN,1,Ingreso,I,01,PUE,G01,Vigente
F6789012-CDEF-1234-5678-90ABCDEF1234,2026-05-30,011,A,RETE00000000,Retenciones SA,WALMEX860714K84,Walmart de México SA,General,General,100000.00,0.00,0.00,0.00,10000.00,0.00,0.00,10000.00,110000.00,MXN,1,Egreso,E,03,PUE,G03,Vigente
